depth,score,mean_error,importance_training_load,importance_duration,importance_workoutActivityType_Running,importance_workout_min_hr,importance_workout_max_hr,importance_workoutActivityType_Walking,importance_workout_avg_hr,importance_workoutActivityType_CoreTraining,importance_workoutActivityType_Cycling,importance_workoutActivityType_TraditionalStrengthTraining
3,0.9379495733739722,40.30786126602161,0.9811916987135582,0.009006088908346492,0.004585327678557595,0.0041449314060860495,0.0008217770121596979,0.0001505028769242158,9.967340436783877e-05,0.0,0.0,0.0
5,0.9711995950402701,26.29846418641668,0.9568313848317401,0.00993913924379749,0.007185572241474589,0.0036665326727905938,0.006805062692868641,0.00044297147023509187,0.015101848018708654,0.0,0.0,2.7488828384845635e-05
7,0.9754750441575947,22.8196370167627,0.9474771858683625,0.013730221364479303,0.006908924024737567,0.00454182684723719,0.008721252358763604,0.0008599522215381478,0.017486610813560347,2.8290652315730478e-06,2.2311418737611592e-05,0.00024888601735221843
10,0.9769053352351671,21.125417734410853,0.9410191247862189,0.012612391900482377,0.0069821631451417185,0.008645637129324998,0.009973479457439876,0.0012408028669088174,0.01897430670092797,6.071272668220302e-06,2.7378220698650962e-05,0.0005186445201883607
