depth,score,mean_error,importance_duration,importance_workoutActivityType_Running,importance_workoutActivityType_Walking,importance_workoutActivityType_CoreTraining,importance_workoutActivityType_Cycling,importance_workoutActivityType_TraditionalStrengthTraining
3,0.8557622090399497,62.03825768813897,0.9429179718201962,0.04103530372959439,0.01604672445020938,0.0,0.0,0.0
5,0.902814419483066,48.56892303261224,0.91770637788626,0.06644639796914714,0.01568447293178489,1.3328648326413194e-06,2.911416085643382e-05,0.0001323041871189724
7,0.9048284361919334,47.66451103401248,0.9172511382867783,0.06494300600102154,0.016977926859358533,2.6013926043147922e-05,0.0001770160170534241,0.0006248989097450832
10,0.8907641880307655,50.365424363787234,0.9180244209550783,0.06301892915821834,0.017180394605459805,4.357891280202958e-05,0.0002381817498818601,0.0014944946185596955
