depth,score,mean_error,importance_duration,importance_workout_avg_hr,importance_workout_min_hr,importance_workoutActivityType_Running,importance_workout_max_hr,importance_workoutActivityType_Walking,importance_workoutActivityType_CoreTraining,importance_workoutActivityType_TraditionalStrengthTraining,importance_workoutActivityType_Cycling
3,0.8886992820559301,53.98904547395075,0.9008299007224353,0.054388266231281485,0.017273284787210463,0.015361966484728467,0.006284106127875064,0.005862475646469185,0.0,0.0,0.0
5,0.954702686276706,32.5332272331567,0.8628904379345904,0.08167505596223958,0.01580472442128804,0.016894859902419984,0.017244026071339413,0.005284529092492449,0.0,0.00020636661563015358,0.0
7,0.9715212600914123,24.870709378206374,0.8514076393847742,0.08636561987930043,0.017704183165590998,0.01805350124477014,0.020757729883915835,0.005515309363872881,1.9980582705043217e-06,0.00017658513538339925,1.7433884121691433e-05
10,0.9742253497454205,22.461567748117755,0.8431148156942372,0.08942640141314373,0.021069395079476427,0.016379910171974287,0.023637769471162383,0.005697868644684593,5.513552439401862e-06,0.0006376020126344767,3.07239602474967e-05
